"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"62" "Seurat.0_8,30" 18 21 7080 5379 0.461538461538462 0.568263905610402 "Seurat" "0_8,30"
"63" "Seurat.0_8,50" 18 23 7309 5150 0.439024390243902 0.586644192952886 "Seurat" "0_8,50"
"64" "Seurat.0_9,100" 22 17 8793 3666 0.564102564102564 0.705754875993258 "Seurat" "0_9,100"
"65" "Seurat.0_9,30" 18 22 7083 5376 0.45 0.568504695400915 "Seurat" "0_9,30"
"66" "Seurat.0_9,50" 18 24 7312 5147 0.428571428571429 0.586884982743398 "Seurat" "0_9,50"
"67" "Seurat.1_1,100" 22 18 8612 3847 0.55 0.691227225298981 "Seurat" "1_1,100"
"68" "Seurat.1_1,30" 18 24 7076 5383 0.428571428571429 0.567942852556385 "Seurat" "1_1,30"
"69" "Seurat.1_1,50" 16 27 6286 6173 0.372093023255814 0.504534874387993 "Seurat" "1_1,50"
"70" "Seurat.1_2,100" 20 23 7673 4786 0.465116279069767 0.615860020868448 "Seurat" "1_2,100"
"71" "Seurat.1_2,30" 18 25 7073 5386 0.418604651162791 0.567702062765872 "Seurat" "1_2,30"
"72" "Seurat.1_2,50" 16 31 6231 6228 0.340425531914894 0.500120394895256 "Seurat" "1_2,50"
"73" "Seurat.1_3,100" 18 28 6434 6025 0.391304347826087 0.516413837386628 "Seurat" "1_3,100"
"74" "Seurat.1_3,30" 16 29 4850 7609 0.355555555555556 0.389276827995826 "Seurat" "1_3,30"
"75" "Seurat.1_3,50" 18 30 6568 5891 0.375 0.527169114696204 "Seurat" "1_3,50"
"76" "Seurat.1_4,100" 16 30 6058 6401 0.347826086956522 0.486234850309014 "Seurat" "1_4,100"
"77" "Seurat.1_4,30" 18 29 6169 6290 0.382978723404255 0.49514407255799 "Seurat" "1_4,30"
"78" "Seurat.1_4,50" 20 29 6704 5755 0.408163265306122 0.538084918532788 "Seurat" "1_4,50"
"79" "Seurat.1_5,100" 16 31 6056 6403 0.340425531914894 0.486074323782005 "Seurat" "1_5,100"
"80" "Seurat.1_5,30" 18 30 5969 6490 0.375 0.479091419857131 "Seurat" "1_5,30"
"81" "Seurat.1_5,50" 18 33 4231 8228 0.352941176470588 0.339593867886668 "Seurat" "1_5,50"
"82" "Seurat.1_6,100" 20 29 6461 5998 0.408163265306122 0.518580945501244 "Seurat" "1_6,100"
"83" "Seurat.1_6,30" 16 35 4734 7725 0.313725490196078 0.379966289429328 "Seurat" "1_6,30"
"84" "Seurat.1_6,50" 18 33 4233 8226 0.352941176470588 0.339754394413677 "Seurat" "1_6,50"
"85" "Seurat.1_7,100" 20 30 6295 6164 0.4 0.505257243759531 "Seurat" "1_7,100"
"86" "Seurat.1_7,30" 16 37 4112 8347 0.30188679245283 0.330042539529657 "Seurat" "1_7,30"
"87" "Seurat.1_7,50" 18 34 4342 8117 0.346153846153846 0.348503090135645 "Seurat" "1_7,50"
"88" "Seurat.1,100" 22 18 8613 3846 0.55 0.691307488562485 "Seurat" "1,100"
"89" "Seurat.1,30" 18 22 7084 5375 0.45 0.568584958664419 "Seurat" "1,30"
"90" "Seurat.1,50" 16 27 6289 6170 0.372093023255814 0.504775664178506 "Seurat" "1,50"
